predicted,actual
0.00821723975241,-0.949371254703
-0.0438360273838,0.170703977104
0.0163895580918,0.554518649936
-0.0313174277544,-0.233652975298
0.0125416340306,-0.370486174678
-0.00788714177907,-0.209990040302
-0.0047383736819,-0.00114385261335
0.007334491238,-0.318812410306
-0.0427622497082,-0.265151302849
0.0263112187386,-0.140818992837
0.0483589321375,0.0366530059614
0.0192530080676,0.0258576762928
0.0334945619106,0.172351333253
-0.0353101119399,0.170674772818
0.0349149741232,-0.458481560222
0.0233757197857,-0.0793912884011
-0.0107612591237,0.00487250212353
0.0877661556005,-0.105784142608
0.0341049954295,0.117668352215
0.00205379258841,0.853588196155
0.0281023643911,-1.85319931406
0.00506087206304,-0.499638009658
0.0293217021972,-0.242657825459
0.00266543403268,0.0352847731255
0.0205728784204,-0.321014541348
-0.0679801702499,0.19780546118
0.0280502103269,-0.397305563953
0.0385139137506,0.749032601837
-0.0168948117644,-0.267567151037
-0.0102521833032,0.0753987590888
0.0343935638666,-0.827628559459
-0.0419226586819,-0.0953151301618
0.0238670464605,0.607499251118
0.020657511428,-2.15366854017
0.00355187151581,0.15570557256
0.00925897248089,0.166102840562
0.0603962540627,0.176591259641
-0.0777174010873,-0.293621458471
0.0316262245178,1.44535998919
0.0512273907661,0.332576251905
0.0259662289172,0.737386125415
0.0167099796236,0.127921250619
-0.0081553068012,-1.15637126919
0.0323846489191,-0.0540041231919
-0.0334562808275,-0.938798724588
0.000512192025781,0.383018571058
-0.029701301828,0.64396696474
0.0128303868696,0.256153939563
0.0366730540991,-0.138381201044
0.0372653603554,0.310668070698
0.00276798289269,0.546152182375
-0.029184943065,1.21888964964
-0.0621101036668,-0.222142716099
0.0178751572967,0.238099003725
0.0145507007837,-0.161990480898
-0.0411218032241,-0.029620060693
-0.00701352581382,-0.0979374149054
0.026390273124,-0.594106454092
0.0175957363099,-0.117733368953
0.00250451546162,0.134348258624
0.0105084963143,0.287736605068
0.00132711604238,-0.359795637099
-0.0911533460021,0.190995909964
